mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
83829,Terreton sandy loam,Terreton,75,Well drained,0.0,15.0,2.0,8.2,0.12,12.5,67.9,19.6,1.45,27.5,166 Kesler North
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,167 Kesler Middle
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,168 Kesler South
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,169 Kesler West and Corners
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,161 Marty E
83833,Terreton silty clay loam,Terreton,85,Well drained,0.0,16.0,0.75,8.2,0.18,34.0,18.1,47.9,1.38,24.6,134 Kesler Highway
83829,Terreton sandy loam,Terreton,75,Well drained,0.0,15.0,2.0,8.2,0.12,12.5,67.9,19.6,1.45,27.5,Kesler Hwy corner NW
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,Kesler HWY Corner SW
83833,Terreton silty clay loam,Terreton,85,Well drained,0.0,16.0,0.75,8.2,0.18,34.0,18.1,47.9,1.38,24.6,Kesler Hwy Corner SE
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,Kesler HWY Corner NE
83833,Terreton silty clay loam,Terreton,85,Well drained,0.0,16.0,0.75,8.2,0.18,34.0,18.1,47.9,1.38,24.6,142 Petersen Big
83833,Terreton silty clay loam,Terreton,85,Well drained,0.0,16.0,0.75,8.2,0.18,34.0,18.1,47.9,1.38,24.6,143 Petersen Mini
83973,"Panmod silt loam, 4 to 12 percent slopes",Panmod,80,Well drained,0.0,28.0,1.5,8.2,0.2,20.0,11.4,68.6,1.55,17.5,69 1/2
83834,Terreton clay,Terreton,85,Well drained,0.0,15.0,2.5,8.2,0.15,43.0,28.0,29.0,1.37,33.0,161 Marty W
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,Shively #11
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,Murdock
83850,"Zwiefel sand, 2 to 4 percent slopes",Zwiefel,90,Well drained,0.0,8.0,0.15,8.2,0.06,2.5,96.8,0.7,1.65,2.5,Shively #12
83833,Terreton silty clay loam,Terreton,85,Well drained,0.0,16.0,0.75,8.2,0.18,34.0,18.1,47.9,1.38,24.6,Savage
83941,"Montlid silty clay loam, moderately saline-alkali",Montlid,90,Moderately well drained,0.0,20.0,0.75,8.8,0.17,28.0,7.0,65.0,1.44,18.7,Egan 58
83922,Matheson loam,Matheson,85,Well drained,0.0,25.0,0.75,7.9,0.07,10.0,46.0,44.0,1.56,8.2,Ward 123
83922,Matheson loam,Matheson,85,Well drained,0.0,25.0,0.75,7.9,0.07,10.0,46.0,44.0,1.56,8.2,Ward 120
