field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-666033354,1382894,Norge,80,Well drained,0.0,20.0,2.0,6.0,0.22,22.0,18.0,60.0,1.38,11.9
osm-666033354,1382894,Norge,80,Well drained,20.0,42.0,1.5,6.0,0.21,31.0,18.0,51.0,1.4,16.6
osm-666033354,1382913,Verdigris,90,Well drained,0.0,18.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-666033354,1382913,Verdigris,90,Well drained,18.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
