field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-667302408,1382913,Verdigris,90,Well drained,0.0,18.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,1382913,Verdigris,90,Well drained,18.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,1382914,Verdigris,90,Well drained,0.0,57.0,3.0,6.5,0.21,23.0,15.0,62.0,1.5,19.6
osm-667302408,2605765,Irwin,85,Moderately well drained,0.0,18.0,3.0,6.5,0.21,33.0,8.0,59.0,1.3,27.2
osm-667302408,2605765,Irwin,85,Moderately well drained,18.0,76.0,1.0,7.2,0.15,45.0,5.0,50.0,1.35,34.5
osm-667302408,2605978,Ladysmith,90,Somewhat poorly drained,0.0,20.0,3.0,5.7,0.21,33.0,7.0,60.0,1.3,26.4
osm-667302408,2605978,Ladysmith,90,Somewhat poorly drained,20.0,91.0,2.0,7.0,0.15,47.0,6.0,47.0,1.35,35.4
