field_id,n_mukeys,n_components,n_horizons,avg_om_pct,avg_ph,total_aws_inches,avg_cec,avg_clay_pct,avg_sand_pct,dominant_soil,drainage_class,ph_constraint,erosion_risk
osm-1423087101,1,1,2,2.5,6.75,0.30000000000000004,33.65,44.0,5.0,Rosehill,Well drained,none,moderate
osm-1423116261,10,8,27,2.46,6.756,4.7,26.3,35.44,8.64,Irwin,Moderately well drained,none,moderate
osm-1424247197,14,11,34,2.609375,6.634375,5.71,26.915625,33.40625,7.0,Benfield,Well drained,none,moderate
osm-666033354,2,2,4,2.375,6.25,0.85,16.925,24.75,16.5,Norge,Well drained,none,moderate
osm-667302408,4,3,7,2.5714285714285716,6.557142857142857,1.3499999999999999,26.042857142857144,32.42857142857143,10.142857142857142,Verdigris,Well drained,none,moderate
