field_id,n_mukeys,n_components,n_horizons,avg_om_pct,avg_ph,total_aws_inches,avg_cec,avg_clay_pct,avg_sand_pct,dominant_soil,drainage_class,ph_constraint,erosion_risk
osm-1177630014,5,3,8,1.8125,6.575,1.58,16.175,21.25,15.25,Vanoss,Well drained,none,moderate
osm-1423190763,5,5,9,1.8055555555555556,6.622222222222223,1.6,16.87777777777778,24.77777777777778,27.0,Farnum,Well drained,none,moderate
osm-1469813297,3,3,6,1.8333333333333333,7.133333333333333,0.93,18.283333333333335,29.833333333333332,37.833333333333336,Clime,Well drained,none,moderate
osm-1476586502,6,5,12,1.2,6.533333333333334,1.77,12.958333333333334,16.583333333333332,61.75,Plevna,Poorly drained,none,moderate
osm-637503855,6,7,13,1.3291666666666666,6.533333333333334,1.9200000000000002,17.266666666666666,23.25,38.833333333333336,Wellsford,Well drained,none,moderate
